student_id,resource_type,time_spent,completion
0,pdf,47,2
1,pdf,56,0
2,pdf,64,2
3,pdf,53,0
4,pdf,114,0
5,pdf,77,2
6,pdf,98,0
7,pdf,70,2
8,pdf,79,0
9,pdf,108,2
10,pdf,112,1
11,pdf,93,0
12,pdf,50,1
13,pdf,109,2
14,pdf,120,2
15,pdf,71,1
16,pdf,40,0
17,pdf,55,1
18,pdf,88,2
19,pdf,52,0
20,pdf,99,0
21,pdf,118,2
22,pdf,72,1
23,pdf,110,1
24,pdf,84,0
25,pdf,63,1
26,pdf,53,0
27,pdf,68,0
28,pdf,118,0
29,pdf,52,0
30,pdf,70,1
31,pdf,115,2
32,pdf,86,1
33,pdf,69,1
34,pdf,95,1
35,pdf,97,0
36,pdf,71,2
37,pdf,51,0
38,pdf,74,2
39,pdf,76,1
40,pdf,114,2
41,pdf,99,1
42,pdf,65,0
43,pdf,113,2
44,pdf,119,2
45,pdf,104,1
46,pdf,81,0
47,pdf,69,1
48,pdf,61,2
49,pdf,112,1
50,pdf,51,1
51,pdf,106,2
52,pdf,62,1
53,pdf,40,1
54,pdf,59,1
55,pdf,60,0
56,pdf,66,0
57,pdf,65,0
58,pdf,96,1
59,pdf,91,1
60,pdf,46,0
61,pdf,66,0
62,pdf,83,2
63,pdf,70,0
64,pdf,77,2
65,pdf,119,2
66,pdf,67,1
67,pdf,82,2
68,pdf,68,2
69,pdf,114,1
70,pdf,49,1
71,pdf,64,1
72,pdf,59,2
73,pdf,46,0
74,pdf,113,0
75,pdf,82,0
76,pdf,45,0
77,pdf,92,1
78,pdf,45,2
79,pdf,93,1
80,pdf,88,2
81,pdf,75,2
82,pdf,114,2
83,pdf,114,2
84,pdf,74,0
85,pdf,89,1
86,pdf,50,2
87,pdf,101,1
88,pdf,60,1
89,pdf,88,1
90,pdf,49,2
91,pdf,68,1
92,pdf,60,2
93,pdf,73,1
94,pdf,45,0
95,pdf,70,2
96,pdf,76,0
97,pdf,81,2
98,pdf,63,2
99,pdf,75,2
100,pdf,54,1
101,pdf,65,2
102,pdf,42,2
103,pdf,77,0
104,pdf,115,2
105,pdf,119,0
106,pdf,81,2
107,pdf,109,0
108,pdf,116,0
109,pdf,108,2
110,pdf,46,0
111,pdf,108,0
112,pdf,63,2
113,pdf,80,2
114,pdf,108,2
115,pdf,85,1
116,pdf,49,0
117,pdf,95,0
118,pdf,104,2
119,pdf,50,0
120,pdf,83,1
121,pdf,67,2
122,pdf,51,2
123,pdf,45,2
124,pdf,42,2
125,pdf,75,1
126,pdf,63,1
127,pdf,47,0
128,pdf,59,2
129,pdf,70,2
